Junction,Date,Weekday,Time,Lane,Vehicle_Count,Congestion_Level,Signal_Time,Weather,Public_Holiday
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,North,268,2.8,37,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,South,285,3.79,52,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,East,228,2.0,59,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,West,150,3.32,35,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,North,244,3.53,45,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,South,163,1.59,53,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,East,104,4.36,50,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,West,141,2.21,56,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,North,162,1.91,52,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,South,209,2.53,57,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,East,267,3.26,48,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,West,88,1.07,34,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,North,231,3.69,55,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,South,72,1.73,48,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,East,267,4.32,30,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,West,126,4.78,59,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,North,127,3.49,53,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,South,297,2.1,52,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,East,177,1.48,39,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,West,134,3.84,33,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,North,160,1.64,45,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,South,290,4.7,56,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,East,158,2.02,34,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,West,266,3.97,30,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,North,706,6.07,93,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,South,840,1.31,102,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,East,350,7.24,111,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,West,917,3.67,97,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,North,432,2.76,103,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,South,303,5.26,71,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,East,435,3.94,62,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,West,651,5.33,113,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,North,876,6.78,78,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,South,350,2.97,87,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,East,318,8.47,109,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,08:00:00,West,984,3.64,112,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,North,470,4.73,116,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,South,184,6.11,112,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,East,228,9.19,79,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,09:00:00,West,103,6.75,60,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,North,439,5.31,89,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,South,288,5.34,90,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,East,155,4.88,86,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,10:00:00,West,340,6.97,61,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,North,451,7.93,117,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,South,422,1.98,92,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,East,953,5.06,63,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,11:00:00,West,607,3.53,84,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,North,487,1.78,75,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,South,168,9.71,120,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,East,967,1.76,104,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,12:00:00,West,872,4.78,102,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,North,288,8.19,73,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,South,191,7.84,110,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,East,133,3.09,98,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,13:00:00,West,314,3.14,102,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,North,128,5.19,113,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,South,378,4.79,94,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,East,106,1.4,100,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,14:00:00,West,734,4.44,118,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,North,897,2.0,63,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,South,312,8.3,93,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,East,518,3.52,61,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,15:00:00,West,253,1.38,94,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,North,248,1.83,99,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,South,560,5.15,90,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,East,154,9.15,78,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,16:00:00,West,119,9.76,73,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,North,709,4.27,61,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,South,848,1.06,79,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,East,339,2.88,91,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,17:00:00,West,693,2.8,60,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,North,690,9.34,65,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,South,133,8.33,82,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,East,331,2.35,72,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,18:00:00,West,719,4.08,87,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,North,553,2.24,87,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,South,428,6.42,61,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,East,840,7.08,91,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,19:00:00,West,369,2.6,65,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,North,987,1.91,116,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,South,506,2.33,68,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,East,214,1.99,112,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,20:00:00,West,313,9.71,119,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,North,446,3.71,82,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,South,776,4.66,78,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,East,463,9.62,67,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,21:00:00,West,359,2.16,69,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,North,798,2.6,72,Rainy,No
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,South,397,2.67,86,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,East,956,8.59,89,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,22:00:00,West,923,1.04,72,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,North,914,8.28,82,Cloudy,No
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,South,185,8.51,106,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,East,211,3.27,93,Clear,No
Electronic City Phase 1,2023-01-01,Sunday,23:00:00,West,460,5.74,82,Clear,No
Electronic City Phase 1,2023-01-02,Monday,00:00:00,North,119,3.58,53,Clear,No
Electronic City Phase 1,2023-01-02,Monday,00:00:00,South,86,1.49,56,Clear,No
Electronic City Phase 1,2023-01-02,Monday,00:00:00,East,239,1.32,58,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,00:00:00,West,286,2.41,42,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,01:00:00,North,87,2.17,38,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,01:00:00,South,235,2.55,46,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,01:00:00,East,68,1.22,55,Clear,No
Electronic City Phase 1,2023-01-02,Monday,01:00:00,West,208,1.4,55,Clear,No
Electronic City Phase 1,2023-01-02,Monday,02:00:00,North,159,3.14,44,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,02:00:00,South,266,3.46,34,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,02:00:00,East,261,3.42,33,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,02:00:00,West,257,3.76,34,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,03:00:00,North,132,3.9,36,Clear,No
Electronic City Phase 1,2023-01-02,Monday,03:00:00,South,210,4.45,36,Clear,No
Electronic City Phase 1,2023-01-02,Monday,03:00:00,East,155,1.75,43,Clear,No
Electronic City Phase 1,2023-01-02,Monday,03:00:00,West,224,1.62,38,Clear,No
Electronic City Phase 1,2023-01-02,Monday,04:00:00,North,237,3.29,43,Clear,No
Electronic City Phase 1,2023-01-02,Monday,04:00:00,South,231,4.57,49,Clear,No
Electronic City Phase 1,2023-01-02,Monday,04:00:00,East,107,2.56,41,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,04:00:00,West,227,1.92,43,Clear,No
Electronic City Phase 1,2023-01-02,Monday,05:00:00,North,120,1.76,36,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,05:00:00,South,189,3.54,52,Clear,No
Electronic City Phase 1,2023-01-02,Monday,05:00:00,East,136,1.88,43,Clear,No
Electronic City Phase 1,2023-01-02,Monday,05:00:00,West,71,3.8,58,Clear,No
Electronic City Phase 1,2023-01-02,Monday,06:00:00,North,966,5.81,66,Clear,No
Electronic City Phase 1,2023-01-02,Monday,06:00:00,South,353,2.99,108,Clear,No
Electronic City Phase 1,2023-01-02,Monday,06:00:00,East,445,3.94,90,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,06:00:00,West,409,1.61,95,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,07:00:00,North,349,5.79,66,Clear,No
Electronic City Phase 1,2023-01-02,Monday,07:00:00,South,833,4.0,73,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,07:00:00,East,655,3.19,71,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,07:00:00,West,850,5.7,93,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,08:00:00,North,353,2.31,118,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,08:00:00,South,817,1.41,114,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,08:00:00,East,603,4.84,86,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,08:00:00,West,559,1.86,66,Clear,No
Electronic City Phase 1,2023-01-02,Monday,09:00:00,North,625,8.14,92,Clear,No
Electronic City Phase 1,2023-01-02,Monday,09:00:00,South,554,6.22,83,Clear,No
Electronic City Phase 1,2023-01-02,Monday,09:00:00,East,540,5.76,105,Clear,No
Electronic City Phase 1,2023-01-02,Monday,09:00:00,West,655,2.25,60,Clear,No
Electronic City Phase 1,2023-01-02,Monday,10:00:00,North,166,4.1,72,Clear,No
Electronic City Phase 1,2023-01-02,Monday,10:00:00,South,914,3.32,95,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,10:00:00,East,429,1.29,76,Clear,No
Electronic City Phase 1,2023-01-02,Monday,10:00:00,West,894,8.65,120,Clear,No
Electronic City Phase 1,2023-01-02,Monday,11:00:00,North,454,7.3,110,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,11:00:00,South,323,1.71,106,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,11:00:00,East,490,5.44,111,Clear,No
Electronic City Phase 1,2023-01-02,Monday,11:00:00,West,660,9.99,93,Clear,No
Electronic City Phase 1,2023-01-02,Monday,12:00:00,North,109,2.32,95,Clear,No
Electronic City Phase 1,2023-01-02,Monday,12:00:00,South,737,4.11,114,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,12:00:00,East,454,6.25,87,Clear,No
Electronic City Phase 1,2023-01-02,Monday,12:00:00,West,783,3.8,118,Clear,No
Electronic City Phase 1,2023-01-02,Monday,13:00:00,North,851,3.84,107,Clear,No
Electronic City Phase 1,2023-01-02,Monday,13:00:00,South,835,6.09,116,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,13:00:00,East,490,5.08,76,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,13:00:00,West,509,7.16,67,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,14:00:00,North,183,8.55,88,Rainy,No
Electronic City Phase 1,2023-01-02,Monday,14:00:00,South,733,9.71,111,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,14:00:00,East,900,9.03,88,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,14:00:00,West,622,2.33,69,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,15:00:00,North,223,3.83,118,Cloudy,No
Electronic City Phase 1,2023-01-02,Monday,15:00:00,South,233,2.07,120,Clear,No
Electronic City Phase 1,2023-01-02,Monday,15:00:00,East,134,9.68,106,Rainy,No
