Junction,Date,Weekday,Time,Lane,Vehicle_Count,Congestion_Level,Signal_Time,Weather,Public_Holiday,Accident_Scale
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,North,74,1.22,43,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,South,173,3.7,31,Rainy,No,2.66
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,East,298,3.63,54,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,00:00:00,West,168,2.16,57,Clear,No,1.64
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,North,76,1.91,58,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,South,68,3.32,47,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,East,110,2.29,40,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,01:00:00,West,178,2.87,57,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,North,232,1.95,41,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,South,58,4.76,35,Clear,No,1.07
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,East,117,1.52,34,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,02:00:00,West,104,3.27,43,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,North,124,4.03,50,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,South,83,1.22,39,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,East,166,4.01,54,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,03:00:00,West,54,1.03,38,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,North,119,2.42,56,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,South,175,2.97,33,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,East,173,3.52,32,Cloudy,No,1.2
Electronic City Phase 1,2023-01-01,Sunday,04:00:00,West,226,2.94,43,Clear,No,4.67
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,North,152,4.61,50,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,South,231,1.48,59,Rainy,No,5.75
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,East,86,2.17,41,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,05:00:00,West,192,4.43,52,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,North,342,5.2,98,Clear,No,5.03
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,South,436,9.79,71,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,East,141,5.6,119,Clear,No,0
Electronic City Phase 1,2023-01-01,Sunday,06:00:00,West,113,6.96,113,Rainy,No,0
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,North,381,6.26,109,Cloudy,No,0
Electronic City Phase 1,2023-01-01,Sunday,07:00:00,South,627,4.48,62,Cloudy,No,0
